"# of Use","# de uso"
"%1$s incl tax.","%1$s incl impuestos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y arriba"
"%s-%s of %s","%s-%s de %s"
(%d),(%d)
"(Copy data from: %s)","(copiar datos de: %s)"
"* Required Fields","* campos requeridos"
"-- Please Select --","-- seleccione, por favor--"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por defecto, si no está ajustado. Refrescar instantaneamente. Limpiar los bloques de salida cache html."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","¡advertencia! Aplicando map por defecto ocultará todos los precios de los productos en el front-end"
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre"
"A name is required","Es requerido un nombre"
"A product type is not defined for the indexer.","El tipo de producto no está definido para el índice"
"ALL GROUPS","Todos los grupos"
AM,Am
Action,Acción
"Actual Price","Precio actual"
Add,Agregar
"Add Attribute","Agregar atributo"
"Add Design Change","Agregar cambio de diseño"
"Add Group","Agregar grupo"
"Add Group Price","Agregar precio de grupo"
"Add New","Agregar nuevo"
"Add New Attribute","Agregar nuevo atributo"
"Add New Attribute Set","Agregar nuevo conjunto de atributos"
"Add New Group","Agregar nuevo grupo"
"Add New Images","Agregar nuevas imágenes"
"Add New Option","Agregar nueva opción"
"Add New Row","Agregar nueva fila"
"Add New Search Term","Agregar nuevo término de búsqueda"
"Add New Set","Agregar nuevo conjunto"
"Add Product","Agregar producto"
"Add Product To Websites","Agregar producto a sitios web"
"Add Root Category","Agregar categoría raíz"
"Add Subcategory","Agregar subcategoría"
"Add Tax","Agregar impuestos"
"Add Tier","Agregar nivel"
"Add attribute into attribute set","Agregar atributo a conjunto de atributos"
"Add group into attribute set","Agregar grupo al conjuto de atributos"
"Add new custom option into product","Agregar nueva opción personalizada al producto"
"Add new values into custom option","Agregar nuevo valores en una opción personalizada"
"Add option","Agregar opcion"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a comparar"
"Add to Wishlist","Agregar a la lista de deseos"
"Additional Information","Información adicional"
"Alert Urls","Alertar urls"
All,Todos
"All Product Types","Todos los tipos de productos"
"All Websites","Todos los sitios web"
"All products","Todos los productos"
"All products - recently added products, New products - products marked as new","Todos los productos - productos recientemente añadidos, productos nuevos - productos marcados como nuevos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","¡todos los productos del conjunto serán borrados! ¿está seguro que quiere borrar este conjunto de atributos?"
"Allow All Products per Page","Permitir todos los productos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir urls de medios dinámicos en productos y categorías"
"Allow HTML Tags on Frontend","Permitir etiquetas html en frontend"
"Allowed File Extensions","Permitir extenciones de archivos"
"Allowed file extensions to upload","Permitir extenciones de archivo para subida"
Amount,Cantidad
"An error occurred while adding products to websites.","Ocurrió un error mientras se agregaban productos a los sitios web"
"An error occurred while clearing comparison list.","Ocurrió un error mientras se limpiaba la lista de comparación"
"An error occurred while deleting this review.","Ocurrió un error mientras se borraban los comentarios"
"An error occurred while removing products from websites.","Ocurrió un error mientras se quitaban productos de los sitios web"
"An error occurred while saving the URL rewrite","Ocurrió un error mientras se guardaba la reescritura del url"
"An error occurred while saving the attribute set.","Ocurrió un error mientras se guardaba el conjunto de atributos"
"An error occurred while saving the collection, aborting. Error message: %s","Abortando, ocurrió un error mientras se guardaba la colección. Mensaje error: %s"
"An error occurred while saving the product.","Ocurrió un error mientras se guardaba el producto"
"An error occurred while saving the search query.","Ocurrió un error mientras se guardaba la consulta de búsqueda"
"An error occurred while saving this group.","Ocurrió un error mientras se guardaba este grupo"
"An error occurred while saving this review.","Ocurrió un error mientras se guardaba este comentario"
"An error occurred while trying to delete the category.","Ocurrió un error mientras se trataba de borrar la categoría"
"An error occurred while updating the product(s) attributes.","Ocurrió un error mientras se actualizaban los atributos de los productos"
"An error occurred while updating the product(s) status.","Ocurrió un error mientras se actualizaba el estado de los productos"
"An invalid group ID is specified, skipping the record.","Se especificó un id de grupo inválido, omitiendo el registro"
"An invalid option ID is specified for %s (%s), skipping the record.","Se especificó un id de opciones para %s (%s), omitiendo los registros"
"An invalid store was specified.","Fue especificada una tienda inválida"
"Anchor Custom Text","Anclar texto personalizado"
"Anchor Custom Title","Anclar título personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicable a catálogo productos and categorías unicamente.  Cualquier contenido multimedia se insertará en el editor como una URL estática. No se actualiza si la url base del sistema configuración cambia"
"Apply MAP (Default Value)","Apply map (defecto value)"
"Apply To","Apply a"
Approved,Aprobado
"Are you sure you want to delete this category?","¿Está seguro que quiere borrar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Está seguro que quiere quitar todos los productos de la comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro que quiere quitar este artículo de los productos a comparar?"
"Are you sure?","¿Está seguro?"
"As low as:","Tan bajo como:"
Assign,Asignar
"Assign product link","Asignar enlace al producto"
"Assign product to category","Asignar producto a categoría"
"Assigned Products","Productos asignados"
"Associated Products","Productos asociados"
"Attrib. Set Name","Atributo ‘Establecer Nombre’"
"Attribute ""%s"" is invalid.","Atributo ""%s"" invalido."
"Attribute ""%s"" is required.","Atributo ""%s"" requerido."
"Attribute Information","Información de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nombre de atributo:"
"Attribute Set","Ajuste de atributo"
"Attribute Sets","Conjunto de atributos"
"Attribute add","Agregado de atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","El código de atributo es inválido. Utilice únicamente letras (a-z), números (0-9) o guión bajo (_) en este campo, el primer carácter debe ser una letra."
"Attribute group with the \""/name/\"" name already exists","El grupo de atributos con el nombre \ ""/ nombre / \"" ya existe"
"Attribute remove","Quitar atributo"
"Attribute with the same code already exists","El atributo con el mismo código ya existe"
Attributes,Atributos
"Attrribute names can be specified per store.","Los nombres de atributos pueden ser especificados por tienda."
Autogenerate,Autogenerar
Availability:,Disponibilidad:
Back,Atrás
"Backend Model","Modelo de back-end"
"Backend Table","Tabla de back-end"
"Backend Table Title","Título de tabla de back-end"
Backorders,"Pedido pendiente"
"Base Image Width","Ancho de la imagen base"
"Based On","Basado en"
"Before Order Confirmation","Antes de la confirmación del pedido"
"Best Value","Mejor valor"
"Block after Info Column","Bloque después de columna de información"
"Bottom Block Options Wrapper","Contenedor de opciones de bloque inferior"
Bottom/Left,AbajoIIzquierda
Bottom/Right,Abajo/derecha
"Browse By","Navegar por"
"Bundle Items","Artículos de paquetes"
"Buy %1$s","Compre %1$s"
"Buy %1$s for","Compre %1$s para"
"Buy %1$s for %2$s","Compre %1$s por %2 $s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2 $s (%3$s impuestos incluidos) cada uno"
"Buy %1$s for %2$s each","Compre %1$s por %2 $s cada uno"
"Cache Lifetime (Seconds)","Duración de caché (segundos)"
"Cache refresh needed.","Se necesita actualización de caché."
"Can be Divided into Multiple Boxes for Shipping","Se puede dividir en varias cajas para envío"
"Can be used only with catalog input type Dropdown","Se puede usar solo con el tipo de entrada de catálogo lista desplegable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Se puede usar solo con el tipo de entrada de catálogo lista desplegable, selección múltiple y preccio"
"Can\'t create image.","No se puede crear imagen."
Cancel,Cancelar
"Cannot create image.","No se puede crear imagen"
"Cannot create writeable directory '%s'.","No se puede crear directorio modificable '% s'."
"Cart Item Attribute","Atributo de artículo de carro"
Catalog,Catalogo
"Catalog Category (Anchor)","Categoría de catálogo (anclado)"
"Catalog Category (Non-Anchor)","Categoría de catálogo (no anclado)"
"Catalog Category (Without Subcategories)","Categoría de catálogo (sin subcategorías)"
"Catalog Category Link","Enlace de Categoría de catálogo"
"Catalog New Products List","Lista de nuevos productos de catálogo"
"Catalog Price Scope","Alcance de precio de catálogo"
"Catalog Product Compare List","Lista de comparación de productos de catálogo"
"Catalog Product Email to a Friend","Enviar correo electrónico de productos de catálogo a un amigo"
"Catalog Product Image Gallery Popup","Ventana emergente de galería de imágenes de productos de catálogo"
"Catalog Product Link","Enlace de producto de catálogo"
"Catalog Product View (Any)","Vista de producto de catálogo (Cualquiera)"
"Catalog Product View (Configurable)","Vista del producto de catálogo (configurable)"
"Catalog Product View (Grouped)","Vista del producto de catálogo (agrupado)"
"Catalog Product View (Simple)","Vista de producto de catálogo (simple)"
"Catalog Product View (Virtual)","Vista de producto de catálogo (virtual)"
"Catalog Section","Sección del catálogo"
"Catalog Seo Sitemap (Category List)","Mapa de sitio de posicionador de catálogo (Lista de categorías)"
"Catalog Seo Sitemap (Category Tree)","Mapa de sitio de posicionador de catálogo (Árbol de categorías)"
"Catalog Seo Sitemap (Common)","Mapa de sitio de posicionador de catálogo (Común)"
"Catalog Seo Sitemap (Product List)","Mapa de sitio de posicionador de catálogo (Lista de productos)"
"Catalog URL Rewrites","Reescrituras de URL de catálogo"
"Catalog product custom option values API","API de valores de opciones personalizadas de productos de catálogo"
"Catalog product custom options API","API de opciones personalizadas de productos de catálogo"
"Catalog, Search","Catálogo, Búsqueda"
Categories,Categorías
